OBJECT_NAME,OBJECT_ID
EXPRESS 2,1996-058A
ARABSAT 2B,1996-063A
MEASAT 2,1996-063B
INMARSAT 3-F3,1996-070A
AMC-2 (GE-2),1997-002A
"NAHUEL 1A",1997-002B
USA 130,1997-008A
DIRECTV 6 (TEMPO 2),1997-011A
BSAT-1A,1997-016B
GOES 10,1997-019A
DFH-3 2,1997-021A
GALAXY 25 (TELSTAR 5),1997-026A
INMARSAT 3-F4,1997-027A
SUPERBIRD C,1997-036A
ABS 3 (AGILA 2),1997-042A
INTELSAT 5 (PAS 5),1997-046A
AMC-3 (GE-3),1997-050A
NSS 5 (INTELSAT 803),1997-053A
APSTAR 2R (TELSTAR 10),1997-062A
USA 134,1997-065A
KUPON,1997-070A
SIRIUS 2 (GE-1E),1997-071A
INDOSTAR 1,1997-071B
ASTRA 1G,1997-076A
GALAXY 8,1997-078A
INTELSAT 804,1997-083A
HGS 1 (ASIASAT 3),1997-086A
SKYNET 4D,1998-002A
BRAZILSAT B3,1998-006A
INMARSAT 3-F5,1998-006B
NSS 806 (INTELSAT 806),1998-014A
UFO 8 (USA 138),1998-016A
BSAT-1B,1998-024B
COSMOS 2350,1998-025A
INTELSAT 805,1998-037A
CHINASAT 5B (SINOSAT 1),1998-044A
ASTRA 2A,1998-050A
EUTE W2,1998-056A
SIRIUS 3,1998-056B
AFRISTAR,1998-063A
AMC-5 (GE-5),1998-063B
BONUM 1,1998-068A
INTELSAT 6B (PAS 6B),1998-075A
ARABSAT 3A,1999-009A
SKYNET 4E,1999-009B
RADUGA 1-4,1999-010A
INSAT 2E (APR-1),1999-016A
TELKOM 1,1999-042A
ABS 7 (KOREASAT 3),1999-046A
YAMAL 101,1999-047A
YAMAL 102,1999-047B
GALAXY 27 (TELSTAR 7),1999-052A
ABS 6 (LMI 1),1999-053A
AMC-4 (GE-4),1999-060A
UFO 10 (USA 146),1999-063A
GALAXY 11,1999-071A
USA 148,2000-001A
GALAXY 10R,2000-002A
HISPASAT 1C,2000-007A
GARUDA 1,2000-011A
ASIASTAR,2000-016A
INSAT 3B,2000-016B
GALAXY 4R,2000-020A
GOES 11,2000-022A
USA 149,2000-024A
GORIZONT 33,2000-029A
FENGYUN 2B,2000-032A
TDRS 8,2000-034A
COSMOS 2371,2000-036A
INTELSAT 9 (PAS 9),2000-043A
BRAZILSAT B4,2000-046A
RADUGA 1-5,2000-049A
AMC-7 (GE-7),2000-054B
NSS 11 (AAP-1),2000-059A
NSAT 110,2000-060A
USA 153,2000-065A
AMC-6 (GE-6),2000-067A
INTELSAT 12 (PAS 12),2000-068A
INTELSAT 1R (PAS 1R),2000-072A
ANIK F1,2000-076A
ASTRA 2D,2000-081A
AMC-8 (GE-8),2000-081B
CHINASAT 31 (BEIDOU 1B),2000-082A
SKYNET 4F,2001-005B
USA 157,2001-009A
EUTE 28A (EB 1),2001-011A
BSAT-2A,2001-011B
XM-2,2001-012A
EKRAN 21,2001-014A
XM-1,2001-018A
INTELSAT 10 (PAS 10),2001-019A
INTELSAT 901,2001-024A
ASTRA 2C,2001-025A
ARTEMIS,2001-029A
GOES 12,2001-031A
USA 159,2001-033A
COSMOS 2379,2001-037A
INTELSAT 902,2001-039A
DIRECTV 4S,2001-052A
USA 164,2002-001A
INSAT 3C,2002-002A
ECHOSTAR 7,2002-006A
INTELSAT 904,2002-007A
TDRS 9,2002-011A
JCSAT 2A,2002-015A
ASTRA 3A,2002-015B
INTELSAT 903,2002-016A
NSS 7,2002-019A
DIRECTV 5 (TEMPO 1),2002-023A
INTELSAT 905,2002-027A
EXPRESS 4A,2002-029A
GALAXY 3C,2002-030A
EUTE 5 WEST A (STELLAT5),2002-035A
EUTE 8 WEST C (HB 6),2002-038A
INTELSAT 906,2002-041A
DRTS,2002-042B
EUTE 25C (EUTE W5),2002-051A
TDRS 10,2002-055A
NSS 6,2002-057A
NIMIQ 2,2002-062A
INTELSAT 907,2003-007A
USA 167,2003-008A
USA 169,2003-012A
INSAT 3A,2003-013A
GALAXY 12,2003-013B
ASIASAT 4,2003-014A
COSMOS 2397,2003-015A
GSAT 2,2003-018A
HELLAS-SAT 2,2003-020A
BD 1 03,2003-021A
AMC-9 (GE-12),2003-024A
THURAYA 2,2003-026A
BSAT-2C,2003-028A
OPTUS C1,2003-028B
GALAXY 23 (TELSTAR 13),2003-034A
USA 170,2003-040A
INSAT 3E,2003-043E
HORIZONS 1 (GALAXY 13),2003-044A
CHINASAT 20,2003-052A
YAMAL 202,2003-053A
