OBJECT_NAME,OBJECT_ID
COSMOS 2514 (GLONASS),2016-008A
COSMOS 2516 (GLONASS),2016-032A
COSMOS 2522 (GLONASS),2017-055A
BEIDOU 3M1,2017-069A
BEIDOU 3M2,2017-069B
BEIDOU 3M3,2018-003A
BEIDOU 3M4,2018-003B
BEIDOU 3M5,2018-018A
BEIDOU 3M6,2018-018B
BEIDOU 3M7,2018-029A
BEIDOU 3M8,2018-029B
COSMOS 2527 (GLONASS),2018-053A
BEIDOU 3M9,2018-062A
BEIDOU 3M10,2018-062B
BEIDOU 3M11,2018-067A
BEIDOU 3M12,2018-067B
BEIDOU 3M13,2018-072A
BEIDOU 3M14,2018-072B
BEIDOU 3M15,2018-078A
BEIDOU 3M16,2018-078B
COSMOS 2529 (GLONASS),2018-086A
BEIDOU 3M17,2018-093A
BEIDOU 3M18,2018-093B
"NAVSTAR 77 (USA 289)",2018-109A
COSMOS 2534 (GLONASS),2019-030A
"NAVSTAR 78 (USA 293)",2019-056A
BEIDOU 3M23,2019-061A
BEIDOU 3M24,2019-061B
BEIDOU 3M21,2019-078A
BEIDOU 3M22,2019-078B
COSMOS 2544 (GLONASS),2019-088A
BEIDOU 3M19,2019-090A
BEIDOU 3M20,2019-090B
COSMOS 2545 (GLONASS),2020-018A
"NAVSTAR 79 (USA 304)",2020-041A
COSMOS 2547 (GLONASS),2020-075A
"NAVSTAR 80 (USA 309)",2020-078A
"NAVSTAR 81 (USA 319)",2021-054A
COSMOS 2557 (GLONASS),2022-075A
COSMOS 2559 (GLONASS),2022-130A
